Activity ID and name*,Data element ID*,Data element label*,Description and definition*,Data type*,Input option,Quantity subtype,Calculation,Validation condition,Optionality*,Functional grouping of data elements,Linkages to decision-support tables,Annotations,International Classification of Diseases 11th Revision (ICD-11) code*,ICD-11 Uniform Resource Identifier (URI),ICD-11 code title,ICD-11 relationship,"ICD-11
comments and considerations","International Classification of Diseases 10th Revision (ICD-10)
code*",ICD-10 code title,ICD-10 relationship,"ICD-10
comments and considerations",Logical Observation Identifiers Names and Codes (LOINC) version 2.73 code*,LOINC version 2.73 long common name,LOINC version 2.73 relationship,"LOINC version 2.73
comments and considerations","International Classification of Health Interventions (ICHI) (Beta 3)
code*","CIEL
URI",CIEL code title,CIEL relationship,"CIEL
comments and considerations","International Classification of Functioning, Disability and Health (ICF)
category*",ICF URI,ICF category name,ICF relationship,"ICF
comments and considerations",Anatomical Therapeutic Chemical (ATC) code*,ATC substance name,ATC relationship,ATC comments and considerations,Systematized Nomenclature of Medicine Clinical Terms (SNOMED) Global Patient Set (GPS) code*,SNOMED GPS preferred name,"SNOMED GPS
relationship","SNOMED GPS
comments and considerations"
PRENATAL CONSULTATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Registration,,,,,,,,,,,,,,,,,,,,,,,,,,164918,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE3,Program/department,,coding,MCH,,,,,,,,,,,,,,,,,LP36132-6,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE4,Service,,coding,CPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE5,Start date,,coding,,,,,,,,,,,,,,,,,,69044-6,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE6,Consultation date,,date,,,,,,,,,,,,,,,,,,LP432879-7,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE7,LMP,Last menstrual period,date,,,,,,,,,,,,,,,,,,,,,,,,1427,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE8,Gestational age,,Numeric,,,,,,,,,,,,,,,,,,LP63627-1,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE9,EDD,Estimated due date,date,,,,,,,,,,,,,,,,,,,,,,,,5596,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE10,Firstborn,,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE11,Yes,,codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE12,No,,codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE13,Partner Present,,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE14,Yes,,Input option,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE15,No,,Input option,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE16,Where to enter ART,,coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE17,ART started on the visit?,,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE18,Yes,,coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE19,No,,coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE20,"At CTZ, the Entrance?",,coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Admission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE21,Consultation Date (Admission),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE22,Partner Present? (Admission),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obstetric History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE23,Year of Previous Pregnancy,,date,,,,,,,,,,,,,,,,,,,,,,,,166071,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE24,Type of Pregnancy,,coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.D MCH,MISAU.D.DE25,Had Haemorrhagic Complications?,,boolean,"Yes, No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
