Activity ID and name*,Data element ID*,Data element label*,FHIR Mapping,Description and definition*,Data Type,Input Options,Quantity subtype,Calculation,Validation condition,Optionality*,Explain conditionality,Functional grouping of data elements,Linkages to decision-support tables,Linkages to scheduling logic tables,Linkages to aggregate indicators,Annotations,CIEL,International Classification of Diseases 11th Revision (ICD-11) code*,ICD-11 Uniform Resource Identifier (URI),ICD-11 code title,ICD-11 relationship,"ICD-11
comments and considerations","International Classification of Diseases 10th Revision (ICD-10)
code*",ICD-10 code title,ICD-10 relationship,"ICD-10
comments and considerations",Logical Observation Identifiers Names and Codes (LOINC) version 2.73 code*,LOINC version 2.73 long common name,LOINC version 2.73 relationship,"LOINC version 2.73
comments and considerations","International Classification of Health Interventions (ICHI) (Beta 3)
code*","ICHI
comments and considerations","International Classification of Functioning, Disability and Health (ICF)
category*",ICF URI,Systematized Nomenclature of Medicine Clinical Terms (SNOMED) Global Patient Set (GPS) code*,SNOMED GPS preferred name,"SNOMED GPS
relationship","SNOMED GPS
comments and considerations"
Register/Update User,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOZ.Registration,MOZ.Registration.DE.1,First name,,Patient’s given or official first name.,string,,,,,,,,,,,,,,,,,,,,,,LP74855-5,,,,,,,,,,,
MOZ.Registration,MOZ.Registration.DE.2,Other names,,"Additional names of the patient, including middle or last names.",string,,,,,,,,,,,,,,,,,,,,,,LP75019-7,,,,,,,,,,,
MOZ.Registration,MOZ.Registration.DE.3,Nickname,,Common or preferred informal name used by the patient.,string,,,,,,,,,,,,,,,,,,,,,,LP75170-8,,,,,,,,,,,
MOZ.Registration,MOZ.Registration.DE.4,Date of birth,,Patient’s recorded date of birth.,date,,,,,,,,,,,,166575,,,,,,,,,,,,,,,,,,,,,
MOZ.Registration,MOZ.Registration.DE.5,Estimated age,,Approximate age of the patient when exact date of birth is unknown.,Numeric,,,,,,,,,,,,,,,,,,,,,,21611-9,,,,,,,,,,,
MOZ.Registration,MOZ.Registration.DE.6,unit ,,Unit used to record the estimated age.,coding,"years
months
days
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOZ.Registration,MOZ.Registration.DE.7,years,,Age recorded in years.,codes,,,,,,,,,,,,1734,,,,,,,,,,,,,,,,,,,,,
MOZ.Registration,MOZ.Registration.DE.8,months,,Age recorded in months.,codes,,,,,,,,,,,,1074,,,,,,,,,,LA9001-4,,,,,,,,,,,
MOZ.Registration,MOZ.Registration.DE.9,days,,Age recorded in days.,codes,,,,,,,,,,,,1072,,,,,,,,,,,,,,,,,,,,,
MOZ.Registration,MOZ.Registration.DE.10,Was the child registered at the registry office,,Indicates whether the child has been officially registered at the civil registry office.,coding,"Yes
No
Not Confirmed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOZ.Registration,MOZ.Registration.DE.11,Yes,,Confirms the response as yes.,codes,,,,,,,,,,,,,,,,,,,,,,LA33-6,,,,,,,,,,,
MOZ.Registration,MOZ.Registration.DE.12,No,,Confirms the response as no.,codes,,,,,,,,,,,,,,,,,,,,,,LA32-8,,,,,,,,,,,
MOZ.Registration,MOZ.Registration.DE.13,Not Confirmed,,Indicates the information has not been verified or confirmed.,codes,,,,,,,,,,,,,,,,,,,,,,LA19738-6,,,,,,,,,,,
MOZ.Registration,MOZ.Registration.DE.14,Sex,,Biological sex of the patient.,coding,"Masculine
Feminine
",,,,,,,,,,,,,,,,,,,,,LL7182-0,,,,,,,,,,,
MOZ.Registration,MOZ.Registration.DE.15,Masculine,,Indicates male sex.,codes,,,,,,,,,,,,1534,,,,,,,,,,LA2-8,,,,,,,,,,,
MOZ.Registration,MOZ.Registration.DE.16,Feminine,,Indicates female sex.,codes,,,,,,,,,,,,1535,,,,,,,,,,,,,,,,,,,,,
MOZ.Registration,MOZ.Registration.DE.17,Race,,Patient’s self-identified racial group.,coding,"Black or African Descent
White
Asian
Multiracial
Indigenous
Other
",,,,,,,,,,,,,,,,,,,,,"32624-9
",,,,,,,,,,,
MOZ.Registration,MOZ.Registration.DE.18,Black or African Descent,,Identifies the patient as Black or of African descent.,codes,,,,,,,,,,,,,,,,,,,,,,LA4267-6,,,,,,,,,,,
MOZ.Registration,MOZ.Registration.DE.19,White,,Identifies the patient as White.,codes,,,,,,,,,,,,,,,,,,,,,,LA23729-9,,,,,,,,,,,
MOZ.Registration,MOZ.Registration.DE.20,Asian,,Identifies the patient as Asian.,codes,,,,,,,,,,,,,,,,,,,,,,LA6156-9,,,,,,,,,,,
MOZ.Registration,MOZ.Registration.DE.21,Multiracial,,Identifies the patient as belonging to more than one racial group.,codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOZ.Registration,MOZ.Registration.DE.22,Indigenous,,Identifies the patient as Indigenous.,codes,,,,,,,,,,,,,,,,,,,,,,LA10326-9,,,,,,,,,,,
MOZ.Registration,MOZ.Registration.DE.23,Other,,Identifies the patient as belonging to another racial category not listed.,codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOZ.Registration,MOZ.Registration.DE.24,Marital Status,,Current marital or relationship status of the patient.,coding,"Single
Married
Divorced
Widow(er)
Common-law marriage
",,,,,,,,,,,1054,,,,,,,,,,45404-1,,,,,,,,,,,
MOZ.Registration,MOZ.Registration.DE.25,Single,,Indicates the patient is not married.,codes,,,,,,,,,,,,,,,,,,,,,,LA47-6,,,,,,,,,,,
MOZ.Registration,MOZ.Registration.DE.26,Married,,Indicates the patient is legally married.,codes,,,,,,,,,,,,,,,,,,,,,,LA48-4,,,,,,,,,,,
MOZ.Registration,MOZ.Registration.DE.27,Divorced,,Indicates the patient is legally divorced.,codes,,,,,,,,,,,,,,,,,,,,,,LA51-8,,,,,,,,,,,
