Activity ID and name*,Data element ID*,Data element label*,Description and definition*,Data type*,List to include this data element in,Quantity subtype,Calculation,Validation condition,Optionality*,Explain conditionality,Functional grouping of data elements,Linkages to decision-support tables,Linkages to scheduling logic tables,Linkages to aggregate indicators,Annotations,Logical Observation Identifiers Names and Codes (LOINC) version 2.73 code*,CIEL Uniform Resource Identifier (URI),CIEL code title,ICD-11 relationship,"ICD-11
comments and considerations","International Classification of Diseases 10th Revision (ICD-10)
code*",ICD-10 code title,ICD-10 relationship,"ICD-10
comments and considerations",LOINC version 2.73 long common name,LOINC version 2.73 relationship,"LOINC version 2.73
comments and considerations","International Classification of Health Interventions (ICHI) (Beta 3)
code*","ICHI
URI",ICHI code title,ICHI relationship,"ICHI
comments and considerations","International Classification of Functioning, Disability and Health (ICF)
category*",ICF URI,ICF category name,ICF relationship,"ICF
comments and considerations",Anatomical Therapeutic Chemical (ATC) code*,ATC substance name,ATC relationship,ATC comments and considerations,Systematized Nomenclature of Medicine Clinical Terms (SNOMED) Global Patient Set (GPS) code*,SNOMED GPS preferred name,"SNOMED GPS
relationship","SNOMED GPS
comments and considerations"
Client Enrollment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE1,Department / Program,"The clinical department under which the service is being registered. Options are dynamically loaded from the departments configured for this health unit. Defaults to the department the logged-in user selected at login, but is editable.",Coding,,,,,,,,,,,,,,3958032:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HIV,,Codes,,,,,,,,,,,,,,3321720:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SMI(MCH),,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TB,,Codes,,,,,,,,,,,,,,3955200:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE2,Service,The specific service within the selected department to which the patient is being enrolled. The list is filtered to show only services associated with the chosen department.,Coding,,,,,,,,,,,,,,168146,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PrEP,,Codes,,,,,,,,,,,,,,3999720:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CCR (Child at Risk Consultation),,Codes,,,,,,,,,,,,,,3878280:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CCS (Healthy Child Consultation),,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CCD (Child Sickness Consultation),,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
