Activity ID and name*,Data element ID*,Data element label*,Data element Description,Data type*,Input option,List to include this data element in,Quantity subtype,Calculation,Validation condition,Optionality*,Explain conditionality,Functional grouping of data elements,Linkages to decision-support tables,Linkages to scheduling logic tables,Linkages to aggregate indicators,Annotations,International Classification of Diseases 11th Revision (ICD-11) code*,ICD-11 Uniform Resource Identifier (URI),ICD-11 code title,ICD-11 relationship,"ICD-11
comments and considerations","International Classification of Diseases 10th Revision (ICD-10)
code*",ICD-10 code title,ICD-10 relationship,"ICD-10
comments and considerations",Logical Observation Identifiers Names and Codes (LOINC) version 2.73 code*,LOINC version 2.73 long common name,LOINC version 2.73 relationship,"LOINC version 2.73
comments and considerations","International Classification of Health Interventions (ICHI) (Beta 3)
code*","ICHI
URI",ICHI code title,ICHI relationship,"ICHI
comments and considerations","International Classification of Functioning, Disability and Health (ICF)
category*",ICF URI,ICF category name,ICF relationship,"ICF
comments and considerations",Anatomical Therapeutic Chemical (ATC) code*,ATC substance name,ATC relationship,ATC comments and considerations,Systematized Nomenclature of Medicine Clinical Terms (SNOMED) Global Patient Set (GPS) code*,SNOMED GPS preferred name,"SNOMED GPS
relationship","SNOMED GPS
comments and considerations"
ART CONSULTATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE2,HIV Test Type,Records the method used to confirm the patient's HIV-positive status — either a Rapid Test (TR) or PCR. Auto-filled from the ATS module if a positive result already exists.,coding,"Rapid test, PCR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE3,HIV+ Test Date,The calendar date on which the HIV-positive result was confirmed. Auto-filled from the ATS module if available.,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE4,HIV Testing Site,Records where the HIV-positive test was performed — either at a health unit (US) or at a community testing site (ATS-C).,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE5,Date of Presumptive Diagnosis (Paediatric),"For children under 18 months, records the date on which a clinical presumptive diagnosis of HIV was made, prior to confirmatory PCR testing.",date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE6,1st PCR Result,Result of the first PCR test for HIV in infants. Auto-filled from the CCR/Lab module if a result already exists in the system.,coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE7,1st PCR Date,Date on which the first PCR test was performed.,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE8,2nd Discordant PCR Result,Result of a second PCR test performed when the first result was discordant or inconclusive.,coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE9,2nd Discordant PCR Date,Date on which the second discordant PCR test was performed.,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE10,Definitive Diagnostic Criteria,"For paediatric cases, the clinical or age criterion used to confirm the definitive HIV diagnosis.",coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE12,Has the Patient Taken ARVs Before?,"Screens whether the patient has previously received any antiretroviral drugs, including PrEP, PEP, PMTCT, or earlier treatment episodes. A Yes response enables the 'Types of ARVs Taken' field.",coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE13,Types of ARVs Taken Previously,Specifies the category of ARVs previously received by the patient before the current ART enrolment episode.,coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE14,Has the Patient Ever Been to an ART Clinic?,"For transferred patients, records whether the patient has a prior history of attending an ART clinic, triggering display of previous clinical summary fields.",coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE15,Last CD4 Count – Absolute,"Most recent CD4 absolute count recorded at the previous ART clinic, used to assess immune status at entry.",coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE16,Last CD4 Count – Percentage,Most recent CD4 percentage from the previous ART clinic. Mutually exclusive with absolute CD4 and semi-quantitative CD4.,coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE17,Last CD4 – Semi-quantitative,"Categorised CD4 count when an absolute value is unavailable, indicating whether the count was ≤200 or >200 cells/mm³.",coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE18,Last CD4 Date,The date on which the most recent CD4 test was performed at the previous facility.,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE19,Last Viral Load – Absolute,"Most recent quantitative HIV viral load result from the previous ART clinic, expressed as copies/mL.",Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE20,Last Viral Load – Qualitative,Qualitative viral load category when a numeric value is unavailable — either Undetectable or Less Than (<) a specified threshold.,coding,Undetectable or Less Than (<) a specified threshold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE21,Last Viral Load Qualitative Value,"The numeric threshold used when qualitative VL is reported as 'less than' a value (e.g., <20 copies/mL).",Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE22,Last Viral Load Date,The date on which the most recent viral load was measured at the previous facility.,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE23,Last TPT Prophylaxis Regimen,"The tuberculosis preventive therapy regimen that the patient was last receiving, used to determine TPT history and continuation needs.",coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE24,Last TPT Start Date,The date on which the patient began the most recently recorded TPT regimen. Must be ≥ date of birth.,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE25,Last TPT End Date,The date on which the patient completed or stopped the most recently recorded TPT regimen. Must be ≥ Start Date.,coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE26,HIV Care Start Date,"The date the patient first entered HIV pre-ART care, used to calculate time from HIV diagnosis to ART initiation.",coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
