Activity ID and name*,Data element ID*,Data element label*,FHIR Mapping,Description and definition*,Data Type,Input Options,Quantity subtype,Calculation,Validation condition,Optionality*,Explain conditionality,Functional grouping of data elements,Linkages to decision-support tables,Linkages to scheduling logic tables,Linkages to aggregate indicators,Annotations,CIEL,International Classification of Diseases 11th Revision (ICD-11) code*,ICD-11 Uniform Resource Identifier (URI),ICD-11 code title,ICD-11 relationship,"ICD-11
comments and considerations","International Classification of Diseases 10th Revision (ICD-10)
code*",ICD-10 code title,ICD-10 relationship,"ICD-10
comments and considerations",Logical Observation Identifiers Names and Codes (LOINC) version 2.73 code*,LOINC version 2.73 long common name,LOINC version 2.73 relationship,"LOINC version 2.73
comments and considerations","International Classification of Health Interventions (ICHI) (Beta 3)
code*","ICHI
comments and considerations","International Classification of Functioning, Disability and Health (ICF)
category*",ICF URI,Systematized Nomenclature of Medicine Clinical Terms (SNOMED) Global Patient Set (GPS) code*,SNOMED GPS preferred name,"SNOMED GPS
relationship","SNOMED GPS
comments and considerations"
Medication Request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE1,Request Code,,Unique identifier assigned to the medication request.,string,,,,,,,,,,,,,,,,,,,,,,51726-8,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE2,Request Type,,Category or urgency level of the medication request.,coding,"Weekly
Bi-weekly
Monthly
Emergency
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE3,Weekly,,Indicates that the medication request is scheduled weekly.,codes,,,,,,,,,,,,1099,,,,,,,,,,LA18891-4,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE4,Bi-weekly,,Indicates that the medication request is scheduled every two weeks.,codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE5,Monthly,,Indicates that the medication request is scheduled monthly.,codes,,,,,,,,,,,,1098,,,,,,,,,,LA18876-5,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE6,Emergency,,Indicates that the medication request is urgent or emergency-based.,codes,,,,,,,,,,,,1882,,,,,,,,,,"LA34578-7
",,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE7,Request date,,Date when the medication request was created or submitted.,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE8,Next Request Date,,Scheduled date for the next medication request.,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE9,Frequency,,Interval or recurrence pattern for the medication request.,Numeric,,,,,,,,,,,,,,,,,,,,,,LP187186-4,,,,,,,,,,,
List of medications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE10,FNM - FNM drug code,,FNM code assigned to the medication in the national medicines formulary.,string,,,,,,,,,,,,,,,,,,,,,,51726-8,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE11,Name,,Name of the medication.,string,,,,,,,,,,,,,,,,,,,,,,104717-4,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE12,Amount consumed,,Quantity of medication consumed during the reporting period.,Numeric,,,,,,,,,,,,,,,,,,,,,,82767-5,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE13,Existing Stock,,Current quantity of medication available in stock.,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE14,Quantity to request,,Quantity of medication requested for replenishment.,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE15,Order number,,Unique number assigned to the medication order.,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE16,Request code,,Unique identifier assigned to the medication request.,string,,,,,,,,,,,,,,,,,,,,,,51726-8,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE17,Request type,,Category or urgency level of the medication request.,string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE18,Request Date,,Date when the medication request was created or submitted.,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
