Activity ID and name*,Data element ID*,Data element label*,Description and definition*,Data Type,Input Options,Quantity subtype,Calculation,Validation condition,Optionality*,Explain conditionality,Functional grouping of data elements,Linkages to decision-support tables,Linkages to scheduling logic tables,Linkages to aggregate indicators,Annotations,CIEL,International Classification of Diseases 11th Revision (ICD-11) code*,ICD-11 Uniform Resource Identifier (URI),ICD-11 code title,ICD-11 relationship,"ICD-11
comments and considerations","International Classification of Diseases 10th Revision (ICD-10)
code*",ICD-10 code title,ICD-10 relationship,"ICD-10
comments and considerations",Logical Observation Identifiers Names and Codes (LOINC) version 2.73 code*,LOINC version 2.73 long common name,LOINC version 2.73 relationship,"LOINC version 2.73
comments and considerations","International Classification of Health Interventions (ICHI) (Beta 3)
code*","ICHI
comments and considerations","International Classification of Functioning, Disability and Health (ICF)
category*",ICF URI,Systematized Nomenclature of Medicine Clinical Terms (SNOMED) Global Patient Set (GPS) code*,SNOMED GPS preferred name,"SNOMED GPS
relationship","SNOMED GPS
comments and considerations"
Schedule Appointment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE1,NID,National Identification Number of the patient,Quantity,,Integer,,,,,,,,,,163084,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE2,Full Name,Full name of the registered patient,String,,,,,,,,,,,,,,,,,,,,,,54125-0,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE3,Date of Birth,Patient's date of birth,Date,,,,,,,,,,,,166575,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE4,Age,Calculated age of the patient,Quantity,,,,,,,,,,,,,,,,,,,,,,30525-0,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE5,Sex,Biological sex of the patient,Coding,,,,,,,,,,,,,,,,,,,,,,46098-0,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE6,Address,Residential address of the patient,String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE7,Registration Date,Date the patient was registered in the system,Date,,,,,,,,,,,,163260,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE8,Priority Level,Triage urgency level assigned to patient,Coding,,,,,,,,,,,,159637,,,,,,,,,,,,,,,,,,,,,
,MISAU.G.DE9,Emergency,,Codes,,,,,,,,,,,,1882,,,,,,,,,,,,,,,,,,,,,
,MISAU.G.DE10,Very urgent,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MISAU.G.DE11,Urgent,,Codes,,,,,,,,,,,,1883,,,,,,,,,,,,,,,,,,,,,
,MISAU.G.DE12,Not urgent ,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MISAU.G.DE13,Death,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE14,Service Time,Expected service time based on triage priority,Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE15,Department,Hospital department where the patient will be seen,Coding,List of all the departments,,,,,,,,,,,164918,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE16,Service,Clinical service within the department,Coding,List of all the services,,,,,,,,,,,167812,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE17,Date of Consultation,Date the patient is added to the waiting list,Date,,,,,,,,,,,,163260,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE18,Admission Type,Type of admission to the health unit,Coding,List of admission types,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE19,Province (Transfer),Province of transferring health unit,Coding,Province list,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE20,District (Transfer),District of transferring health unit,Coding,District list,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE21,Health Unit (Transfer),Name of the transferring health unit,Coding,Heath units list,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE22,Reference Guide Number,Reference guide number from referring facility,Quantity,,Integer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE23,Reason for Admission,Clinical reason for patient admission,Coding,Predefined list,,,,,,,,,,,1655,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE24,Cost in Metical,Co-payment amount in Mozambican Metical,Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE25,Reason for Exemption,Justification for co-payment exemption,Coding,,,,,,,,,,,,57827-8,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE26,Traffic Accident within 24 hours,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE27,Physical assault up to 24 hours,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE28,Asthma attack,,Codes,,,,,,,,,,,,121375,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE29,Grave,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE30,Former Combatant,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE31,Blood Donor,,Codes,,,,,,,,,,,,163503,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE32,Public Employee/AMM,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE33,Elderly,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE34,Guide bearer,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE35,Newborn(upto 28days),,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE36,Donor Information,Details of the blood donor,String,,,,,,,,,,,,,,,,,,,,,,LP422678-5,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE37,AMM Membership Card Number,Membership card number for public employees,Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE38,Further Comments,Additional free-text notes about the admission,String,,,,,,,,,,,,,,,,,,,,,,LP74431-5,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE39,Screening Status,Indicates if clinical screening has been performed,Coding,,,,,,,,,,,,166663,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE40,Visit Status,Current state of the patient's visit,Coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,,On hold,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,,Triad,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,,Under Observation,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,,High,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,,SO,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,,Hospitalized,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,,Absent,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,,Death,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,,self-completion,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,,,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,,,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE41,Removal Reason,Reason for removing user from waiting list,Coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE42,Reschedule,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE43,Cancel,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE44,Change of doctors,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE45,Reason for Cancellation,Free-text explanation for cancelling,String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE46,Rescheduling Date,New date for the rescheduled appointment,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE47,Reason for Rescheduling,Free-text explanation for rescheduling,String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE48,Doctor's Name (Change),Name of the new doctor,String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE49,Doctor's Name,Name of the doctor whose schedule is being viewed,Codes,Selected from the list of doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE50,Appointment Count per Day,Number of appointments on a given day,Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Consultation(Attend to patient),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE50,Vital signs,,String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE51,Main Complaint,,String,,,,,,,,,,,,,,,,,,,,,,LP76016-2,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE52,Current Medical History,,String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE53,Psychomotor Development,,Coding,,,,,,,,,,,,160277,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE54,Chronic Disease (Patient),,Coding,,,,,,,,,,,,155569,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE55,Year of Diagnosis (Chronic),,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE56,Family History of Chronic Disease,,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE57,Previous Illnesses,,Coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE58,Allergies,Indicates whether the patient has an allergy,Boolean,,,,,,,,,,,,160557,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE59,Drug Allergy Flag,Indicates the patient has a known drug allergy,Boolean,,,,,,,,,,,,1512,,,,,,,,,,,,,,,,,,,,,
